,name,location,type
1,울산 현대,울산문수월드컵경기장,Div.1
2,전북 현대,전주월드컵경기장,Div.1
3,대구FC,DGB 대구은행파크,Div.1
4,상주 상무,상주시민운동장,Div.1
5,포항 스틸러스,포항스틸야드,Div.1
6,강원FC,춘천송암스포츠타운,Div.1
7,부산 아이파크,부산 구덕운동장,Div.1
8,광주FC,광주월드컵경기장,Div.1
9,성남FC,탄천종합운동장,Div.1
10,수원 삼성 블루윙즈,수원월드컵경기장,Div.1
11,FC서울,서울월드컵경기장,Div.1
12,인천 유나이티드,"
인천축구전용경기장",Div.1
13,수원FC,수원종합운동장,Div.2
14,대전 시티즌,대전월드컵경기장,Div.2
15,제주 UTD,제주월드컵경기장,Div.2
16,전남 드래곤즈,광양축구전용구장,Div.2
17,서울 이랜드,서울 이랜드,Div.2
18,부천FC,부천종합운동장,Div.2
19,경남FC,창원축구센터,Div.2
20,안산 그리너스,안산 그리너스,Div.2
21,충남 아산 FC,이순신종합운동장,Div.2
22,FC안양,안양종합운동장,Div.2
